Feature Index,Mean_Absolute_Importance,Std_Absolute_Importance,True_Stable_Rank
489,9.137187,2.503761,719
580,9.087220,5.751585,720
108,9.067749,7.272156,721
582,9.041229,5.851400,722
74,9.007602,7.203865,723
546,8.907224,6.329144,724
518,8.893894,6.305648,725
670,8.711174,0.834996,726
458,8.699863,6.308599,727
504,8.695318,2.333855,728
410,8.690119,6.338825,729
761,8.674088,2.012293,730
793,8.643176,2.000165,731
1030,8.617387,0.400965,732
735,8.522482,1.965925,733
721,8.489612,1.986295,734
174,8.454253,9.302997,735
204,8.441094,9.302513,736
688,8.406495,0.728294,737
895,8.367634,0.780959,738
855,8.358809,0.792007,739
807,8.329819,0.986843,740
463,8.233999,1.970613,741
845,8.213875,0.977916,742
551,8.211411,3.177021,743
461,8.124472,2.013774,744
1020,8.104523,0.398030,745
214,8.061668,5.243079,746
513,8.027187,3.158795,747
262,7.952740,5.500455,748
1014,7.768685,0.380319,749
961,7.697506,1.196345,750
985,7.674628,1.202391,751
708,7.576067,0.968247,752
534,7.565746,5.086585,753
505,7.557976,1.894462,754
590,7.545316,7.009636,755
1024,7.539189,0.323170,756
530,7.528366,5.082281,757
275,7.510317,2.730672,758
740,7.489414,1.069053,759
748,7.483371,0.935749,760
572,7.471934,7.091195,761
716,7.309424,1.057170,762
231,7.281802,5.032357,763
245,7.270431,5.019669,764
474,7.184589,1.356432,765
299,7.113697,2.277334,766
506,6.926144,0.957306,767
803,6.827913,0.451476,768
849,6.813603,0.463721,769
842,6.812078,1.102185,770
903,6.811243,1.525605,771
492,6.776376,1.511032,772
201,6.774453,5.833522,773
503,6.767019,2.075266,774
810,6.756005,1.154625,775
614,6.724508,4.134017,776
945,6.722361,1.408012,777
233,6.721054,5.126725,778
550,6.717305,1.207336,779
177,6.690209,5.862661,780
514,6.678998,1.162069,781
646,6.675556,4.172880,782
243,6.624728,5.070550,783
876,6.575630,0.812695,784
277,6.570223,1.047240,785
402,6.510637,4.394406,786
874,6.477236,0.821242,787
169,6.469151,3.745288,788
823,6.456510,0.728669,789
795,6.445211,0.286255,790
759,6.435562,0.257200,791
829,6.433286,0.742000,792
209,6.431299,3.726585,793
368,6.405615,4.400725,794
297,6.178667,0.927886,795
242,6.144319,3.871382,796
559,6.098801,3.556367,797
894,6.067703,0.437002,798
704,6.057404,0.322903,799
752,6.035146,0.319924,800
603,6.012603,3.614852,801
730,6.009801,1.398418,802
726,5.997628,1.402533,803
856,5.978702,0.471227,804
1110,5.978672,0.401911,805
164,5.966322,3.375375,806
116,5.882967,3.336663,807
818,5.865434,2.292072,808
467,5.861520,1.078885,809
234,5.858286,3.816393,810
832,5.854272,1.723829,811
834,5.853252,2.241888,812
822,5.815359,0.764311,813
902,5.808277,1.153855,814
830,5.791178,0.747278,815
946,5.780737,1.168887,816
1027,5.778402,0.354802,817
820,5.776991,1.680700,818
1029,5.669034,0.280695,819
949,5.654029,0.407565,820
460,5.588923,1.072333,821
997,5.522606,0.304772,822
816,5.459698,0.746210,823
290,5.414721,1.465840,824
499,5.332517,1.077296,825
1017,5.321894,0.295667,826
1015,5.296412,0.316112,827
836,5.277278,0.728047,828
1022,5.198270,0.364941,829
585,5.186450,2.586030,830
577,5.139063,2.557427,831
284,5.106759,1.162275,832
73,4.995363,3.723439,833
626,4.943789,2.889233,834
11,4.917822,0.239300,835
109,4.877955,3.728805,836
612,4.818919,1.269244,837
634,4.797292,2.883555,838
249,4.788556,2.316098,839
648,4.735944,1.290359,840
863,4.667304,0.663472,841
478,4.646106,1.456316,842
1177,4.620452,0.321391,843
186,4.601334,3.051759,844
887,4.566414,0.622718,845
536,4.528840,2.930162,846
192,4.520948,3.073139,847
211,4.513744,2.615320,848
167,4.509926,2.663376,849
227,4.500111,2.225472,850
886,4.485390,0.231980,851
864,4.483177,0.240756,852
528,4.451298,2.941241,853
486,4.448884,0.628758,854
812,4.438819,1.976874,855
219,4.434763,3.211277,856
257,4.390682,3.195564,857
654,4.370692,0.932445,858
840,4.356116,1.930406,859
821,4.347283,1.214549,860
488,4.287224,1.350687,861
1244,4.284086,0.034078,862
1240,4.276688,0.050194,863
831,4.260484,1.208816,864
606,4.216342,0.900717,865
496,4.193058,1.944878,866
682,4.183720,0.391398,867
361,4.164819,2.305311,868
668,4.162256,0.362790,869
1245,4.135943,0.031698,870
409,4.111257,2.308275,871
690,4.093503,0.297753,872
571,4.061748,3.720829,873
896,4.058586,0.956486,874
311,4.048011,0.703147,875
662,4.008385,0.352123,876
854,4.004608,0.948393,877
263,3.996354,0.768500,878
676,3.994462,0.417183,879
1001,3.969718,0.467238,880
468,3.948604,2.030858,881
591,3.925425,3.611564,882
271,3.910213,1.911592,883
193,3.756674,3.336962,884
185,3.736836,3.328969,885
843,3.721615,0.478715,886
1043,3.719727,0.506410,887
584,3.715219,3.553936,888
696,3.656309,0.417247,889
578,3.647178,3.522894,890
199,3.627833,2.481627,891
809,3.624172,0.453563,892
212,3.603204,1.455061,893
179,3.602866,2.504323,894
166,3.575746,1.412078,895
172,3.569913,1.584227,896
495,3.561477,1.281007,897
206,3.538217,1.564269,898
661,3.506220,0.384959,899
984,3.503026,0.679605,900
852,3.486719,0.394328,901
962,3.476385,0.711481,902
480,3.429632,0.730713,903
303,3.391462,2.057931,904
898,3.384672,0.431836,905
1023,3.356455,0.307672,906
1021,3.354445,0.357983,907
901,3.337387,0.668048,908
817,3.325869,1.282759,909
947,3.304343,0.643058,910
835,3.292616,1.289227,911
305,3.289138,0.849841,912
269,3.267082,0.769295,913
732,3.247321,0.672597,914
724,3.246159,0.658331,915
581,3.239630,2.425330,916
941,3.204961,0.795528,917
697,3.191722,0.415198,918
470,3.125632,1.718109,919
907,3.108411,0.778730,920
570,3.086007,1.472041,921
1209,3.084413,0.200337,922
993,3.030743,0.608825,923
1241,3.023570,0.050887,924
953,2.985870,0.657540,925
592,2.976942,1.431322,926
598,2.957596,1.325395,927
755,2.943015,1.704582,928
669,2.920418,0.348068,929
703,2.918690,0.310373,930
739,2.917904,0.457150,931
717,2.916033,0.443533,932
1073,2.901930,2.204325,933
498,2.890238,1.694646,934
799,2.886723,1.693054,935
464,2.830098,1.108545,936
283,2.807573,1.283869,937
459,2.799420,0.512799,938
564,2.779955,1.329663,939
1003,2.774309,0.293190,940
647,2.757903,1.851241,941
493,2.733212,0.608427,942
1000,2.726000,0.442638,943
613,2.689098,1.856692,944
507,2.643834,0.631205,945
557,2.622629,0.925797,946
170,2.576699,1.979789,947
683,2.557572,0.352155,948
208,2.552302,1.973028,949
689,2.549350,0.302871,950
605,2.519417,0.887000,951
466,2.512914,0.472232,952
1169,2.505351,0.146888,953
497,2.494287,1.413434,954
1050,2.493120,0.522055,955
899,2.453818,0.331268,956
1239,2.441152,0.031477,957
1232,2.387780,0.025011,958
851,2.385086,0.281335,959
1041,2.384253,0.311431,960
500,2.371479,0.433802,961
1044,2.305475,0.447739,962
675,2.299672,0.277220,963
641,2.298882,1.644759,964
1033,2.294819,0.370274,965
655,2.294370,0.310351,966
220,2.275297,1.304088,967
256,2.256463,1.311491,968
1253,2.238941,0.016694,969
1248,2.238267,0.028429,970
1185,2.227780,0.146711,971
619,2.216866,1.649659,972
502,2.159509,0.907550,973
1059,2.113259,0.523244,974
1249,2.082710,0.036357,975
1236,2.062563,0.018217,976
729,2.055648,1.726205,977
1004,2.029244,0.350293,978
1111,2.028250,0.084210,979
1123,2.027992,0.047016,980
727,2.005848,1.667669,981
1237,1.980644,0.016467,982
802,1.936049,0.180636,983
1011,1.900097,0.356273,984
