Feature Index,Mean_Absolute_Importance,Std_Absolute_Importance,True_Stable_Rank
71,1.450399,0.197745,893
561,1.431813,0.304004,894
631,1.431756,0.370896,895
107,1.426487,0.350973,896
339,1.420307,1.153778,897
75,1.416682,0.346942,898
1116,1.396358,0.025557,899
227,1.387517,0.085981,900
249,1.370207,0.084051,901
961,1.358419,0.152445,902
4,1.353085,0.019221,903
167,1.336992,0.154965,904
985,1.336653,0.151375,905
871,1.336350,0.070458,906
18,1.321171,0.122116,907
602,1.319475,0.274003,908
211,1.315381,0.145857,909
1045,1.306057,0.013419,910
66,1.304503,0.124844,911
560,1.300710,0.273560,912
494,1.300538,0.443003,913
595,1.289772,0.503274,914
416,1.284610,0.602609,915
879,1.277425,0.071954,916
999,1.276418,0.016415,917
472,1.264475,0.442979,918
1209,1.263716,0.020499,919
857,1.258954,0.064633,920
996,1.242868,0.032224,921
749,1.226664,0.143281,922
893,1.220399,0.063836,923
567,1.217783,0.500838,924
1194,1.208227,0.011123,925
927,1.206165,0.042552,926
1141,1.201815,0.013487,927
1249,1.200065,0.007637,928
921,1.195245,0.044577,929
707,1.193955,0.144022,930
805,1.192075,0.115310,931
452,1.183578,0.586252,932
1114,1.178317,0.022559,933
847,1.156143,0.115421,934
1199,1.151210,0.007690,935
260,1.139871,0.127780,936
216,1.135061,0.131345,937
950,1.134108,0.023789,938
1121,1.128300,0.025476,939
5,1.118155,0.017907,940
865,1.088090,0.058318,941
892,1.086118,0.037666,942
1004,1.074481,0.025988,943
87,1.071041,0.214916,944
95,1.066917,0.209917,945
885,1.061850,0.059044,946
858,1.057625,0.035407,947
1215,1.046255,0.008117,948
581,1.006418,0.309096,949
1040,0.994799,0.024745,950
770,0.988058,0.378350,951
784,0.972935,0.371084,952
67,0.972633,0.031571,953
205,0.953885,0.311316,954
115,0.953757,0.029469,955
1026,0.944478,0.054531,956
1073,0.932447,0.301951,957
716,0.919303,0.229972,958
1059,0.917468,0.021562,959
1050,0.915794,0.022377,960
173,0.914329,0.310956,961
164,0.911833,0.017410,962
739,0.906463,0.106239,963
116,0.901765,0.025461,964
1134,0.893168,0.007867,965
800,0.882976,0.184250,966
740,0.882031,0.227440,967
795,0.881330,0.157423,968
759,0.880429,0.151293,969
1115,0.878970,0.013696,970
193,0.875265,0.175993,971
1151,0.874950,0.004512,972
1147,0.873635,0.004019,973
717,0.872572,0.095024,974
778,0.871118,0.433887,975
1033,0.864846,0.042765,976
754,0.854932,0.182647,977
185,0.853131,0.168328,978
479,0.847847,0.236658,979
776,0.846911,0.422699,980
990,0.839454,0.050073,981
785,0.828063,0.428449,982
